"","ID","SeriousDlqin2yrs","RevolvingUtilization","No_of_30_59_DPD","DebtRatio","MonthlyIncome","No_Of_OpenCreditLines","No_of_90_DPD","No_of_RealEstateLoans","No_of_60_89_DPD","Gender","age","Martial_Status","NumberOfDependents","Own_House","No_Years_address","percentile_score","Income_segment","Life_Stage_Segment","City","State"
"40",95047,1,0,0,3552,0,4,11,1,0,1,48,"Single",0,1,1,0.700457632319782,"Very Low Value Customers","Pre-retired","Jammu","JK"
"41",98152,1,0.80680552,0,1966,0,7,0,1,0,0,52,"Single",0,0,1,0.723139117556804,"Very Low Value Customers","Pre-retired","Imphal","Manipur"
"42",99719,1,0.9999999,0,0,0,0,0,0,0,1,27,"Single",0,0,1,0.735814065189257,"Very Low Value Customers","UnMarried_employed","Kohima","Nagaland"
"43",100760,1,0.543948195,1,1048,0,4,1,1,1,0,67,"Married",0,0,1,0.744486397779883,"Very Low Value Customers","Retired","Dispur","Assam"
"44",100876,1,0.9999999,0,58,0,2,0,0,0,1,29,"Single",0,1,1,0.746487705300797,"Very Low Value Customers","Married_with_youndKids","Lucknow","Uttar Pradesh"
"45",103621,1,0.889330758,3,2356,0,10,3,1,0,0,39,"Married",2,1,3,0.769169190537818,"Very Low Value Customers","Married_with_youndKids","Ranchi","Jharkhand"
"46",103668,1,0.256510533,1,8901,0,17,0,9,0,1,29,"Single",1,0,1,0.769836293044789,"Very Low Value Customers","Married_with_youndKids","Bangalore","Karnataka"
"47",104713,1,0.929253537,3,2500,0,5,0,0,0,0,36,"Married",0,0,1,0.777174420621473,"Very Low Value Customers","Married_with_youndKids","Kohima","Nagaland"
"48",112343,1,0.225210624,0,5508,0,20,0,2,0,1,33,"Married",2,1,3,0.826540006137343,"Very Low Value Customers","Married_with_youndKids","Jammu","JK"
"49",115213,1,0.907573813,3,619,0,5,2,0,1,0,25,"Married",1,1,3,0.843217568811624,"Very Low Value Customers","UnMarried_employed","Ranchi","Jharkhand"
"50",115811,1,0,0,2781,0,10,0,2,0,0,48,"Single",0,1,1,0.84655308134648,"Very Low Value Customers","Pre-retired","Ranchi","Jharkhand"
"51",116013,1,1.159854678,3,723,0,5,2,0,4,1,65,"Married",0,0,2,0.847887286360422,"Very Low Value Customers","Retired","Hyderabad","Andhra Pradesh"
"52",120068,1,0.9999999,1,1251,0,3,0,1,2,0,47,"Single",0,1,2,0.876572694160185,"Very Low Value Customers","Pre-retired","Chandigarh","Haryana"
"53",121822,1,0.521825587,0,7030,0,8,0,2,0,0,43,"Single",3,1,2,0.887913436778695,"Very Low Value Customers","Pre-retired","Thiruvananthapuram","Kerala"
"54",129359,1,0.045216856,0,278,0,2,0,0,0,1,54,"Single",0,0,3,0.932609304745767,"Very Low Value Customers","Pre-retired","Gandhinagar","Gujarat"
"55",129808,1,0.001025628,0,3420,0,10,0,2,0,0,65,"Married",0,1,1,0.937279022294566,"Very Low Value Customers","Retired","Chennai","Tamil Nadu"
"56",136191,1,0.5502998,0,109,0,3,0,0,0,0,51,"Single",0,1,3,0.982641992768609,"Very Low Value Customers","Pre-retired","Thiruvananthapuram","Kerala"
"57",137842,1,1.465534466,1,136,0,1,3,0,0,0,29,"Single",0,1,2,0.994649837894091,"Very Low Value Customers","Married_with_youndKids","Shimla","Himachal Pradesh"
"58",139792,1,0.9999999,0,0,0,1,0,0,0,0,23,"Married",0,0,3,1.01399581059626,"Very Low Value Customers","UnMarried_employed","Lucknow","Uttar Pradesh"
"59",140683,1,1.011168106,1,1616,0,4,0,1,0,0,60,"Single",0,0,2,1.02133393817294,"Very Low Value Customers","Pre-retired","Bhopal","Madhya Pradesh"
"60",143204,1,0.251497006,1,2398,0,5,1,2,0,0,33,"Single",1,0,1,1.04067991087511,"Very Low Value Customers","Married_with_youndKids","Panjim","Goa"
"61",143579,1,0.9999999,1,1642,0,1,0,1,1,1,49,"Married",3,1,3,1.04401542340996,"Very Low Value Customers","Pre-retired","Bangalore","Karnataka"
"62",144136,1,0.555997317,1,1895,0,16,0,2,0,0,52,"Single",2,1,2,1.04868514095876,"Very Low Value Customers","Pre-retired","Hyderabad","Andhra Pradesh"
"63",144679,1,0.9999999,1,2150,0,4,0,2,0,1,62,"Single",0,0,1,1.05202065349362,"Very Low Value Customers","Retired","Shimla","Himachal Pradesh"
"64",146202,1,0.184198001,1,977,0,4,0,1,0,0,35,"Married",2,0,3,1.06069298608424,"Very Low Value Customers","Married_with_youndKids","Thiruvananthapuram","Kerala"
"65",148760,1,0,0,2662,0,14,0,2,0,0,56,"Single",1,0,2,1.08137316380035,"Very Low Value Customers","Pre-retired","Chennai","Tamil Nadu"
"66",149295,1,0.996890725,2,1413,0,6,0,0,0,0,31,"Single",0,0,1,1.08537577884218,"Very Low Value Customers","Married_with_youndKids","Chandigarh","Haryana"
"67",196,1,0.025892469,0,74.5,1,13,0,0,0,0,38,"Married",2,0,2,1.09071259889795,"Very Low Value Customers","Married_with_youndKids","Ranchi","Jharkhand"
"68",5989,1,0.637436156,0,893,1,11,0,2,0,0,34,"Single",2,0,1,1.10405464903737,"Very Low Value Customers","Married_with_youndKids","Shimla","Himachal Pradesh"
"69",11303,1,0.912257769,0,1608,1,9,0,3,0,1,34,"Single",3,1,2,1.12073221171165,"Very Low Value Customers","Married_with_youndKids","Mumbai","Maharashtra"
"70",19870,1,1.019994446,0,452.5,1,11,0,0,0,0,28,"Single",3,0,2,1.1427465944417,"Very Low Value Customers","Married_with_youndKids","Lucknow","Uttar Pradesh"
"71",20210,1,0.335129373,1,1962.5,1,21,0,1,1,0,55,"Single",0,0,3,1.14341369694867,"Very Low Value Customers","Pre-retired","Aizawl","Mizoram"
"72",33679,1,0.747859488,0,856,1,9,0,0,0,0,38,"Married",0,0,1,1.17943723232512,"Very Low Value Customers","Married_with_youndKids","Gandhinagar","Gujarat"
"73",35398,1,0.814837033,0,5857,1,10,0,7,0,0,60,"Single",0,0,1,1.18477405238089,"Very Low Value Customers","Pre-retired","Gandhinagar","Gujarat"
"74",35992,1,0.9999999,0,0,1,0,0,0,0,0,28,"Single",1,1,3,1.18744246240877,"Very Low Value Customers","Married_with_youndKids","Dispur","Assam"
"75",39740,1,0.014599416,1,2563,1,17,1,1,0,0,42,"Single",2,0,2,1.1961147949994,"Very Low Value Customers","Pre-retired","Chennai","Tamil Nadu"
"76",55914,1,0.870594073,0,2103.5,1,7,0,1,0,0,51,"Single",1,1,1,1.24147776547344,"Very Low Value Customers","Pre-retired","Gandhinagar","Gujarat"
"77",101115,1,0.351737741,0,928,1,17,0,2,0,1,63,"Married",0,0,3,1.35688649917946,"Very Low Value Customers","Retired","Gandhinagar","Gujarat"
"78",110965,1,0,0,5774.5,1,7,0,3,0,0,42,"Single",3,0,3,1.37956798441649,"Very Low Value Customers","Pre-retired","Bangalore","Karnataka"
"79",120573,1,0.199764982,0,2,1,3,0,0,0,1,39,"Single",1,0,3,1.40425077717442,"Very Low Value Customers","Married_with_youndKids","Gandhinagar","Gujarat"
"80",127573,1,0.007101896,0,52.5,1,9,0,0,0,0,82,"Single",0,1,3,1.4255980573975,"Very Low Value Customers","Retired","Bhopal","Madhya Pradesh"
"81",129061,1,0.974471589,0,1293.5,1,6,0,0,0,0,44,"Married",2,0,3,1.43160197996024,"Very Low Value Customers","Pre-retired","Thiruvananthapuram","Kerala"
"82",135025,1,0.9999999,0,0,1,1,0,0,0,1,25,"Married",0,0,3,1.44627823511361,"Very Low Value Customers","UnMarried_employed","Bhopal","Madhya Pradesh"
"83",146628,1,0.9999999,1,1571,1,4,2,2,0,1,40,"Single",1,0,3,1.48163466798308,"Very Low Value Customers","Married_with_youndKids","Shimla","Himachal Pradesh"
"84",40083,1,0.733362474,0,93,4,5,0,0,0,0,46,"Single",1,1,2,1.49697802564342,"Very Low Value Customers","Pre-retired","Kohima","Nagaland"
"85",69929,1,0,1,0.390070922,140,1,2,0,0,1,28,"Single",0,0,1,1.54234099611746,"Very Low Value Customers","Married_with_youndKids","Shimla","Himachal Pradesh"
"86",124368,1,0.04530778,0,0.854304636,150,4,1,0,0,0,27,"Single",0,0,3,1.54634361115929,"Very Low Value Customers","UnMarried_employed","Bangalore","Karnataka"
"87",30088,1,1.044090056,2,4.437810945,200,6,1,0,0,0,26,"Married",0,0,3,1.56502248135449,"Very Low Value Customers","UnMarried_employed","Patna","Bihar"
"88",18325,1,1.413173653,1,0.174377224,280,3,1,0,1,0,22,"Single",0,1,2,1.61705647689824,"Very Low Value Customers","Student","Kohima","Nagaland"
"89",29649,1,0.946843854,1,1.700348432,286,3,2,0,0,1,23,"Single",0,0,1,1.61839068191218,"Very Low Value Customers","UnMarried_employed","Chandigarh","Haryana"
"90",78045,1,1.70259481,0,1.740863787,300,4,4,0,0,1,29,"Married",0,0,2,1.63840375712132,"Very Low Value Customers","Married_with_youndKids","Ranchi","Jharkhand"
"91",146372,1,0.972781558,1,5.219269103,300,4,1,0,0,0,41,"Married",0,0,1,1.65441421728863,"Very Low Value Customers","Pre-retired","Kolkata","West Bengal"
"92",49699,1,0.9999999,98,0,338,0,98,0,98,1,30,"Single",0,0,2,1.67042467745594,"Very Low Value Customers","Married_with_youndKids","Itanagar","Arunachal Pradesh"
"93",97453,1,0.704154952,0,3.547277937,348,5,0,0,0,0,28,"Single",4,0,2,1.67175888246988,"Very Low Value Customers","Married_with_youndKids","Chandigarh","Haryana"
"94",40327,1,0.9999999,1,0.767088608,394,1,0,0,0,1,28,"Married",0,0,2,1.69110485517205,"Very Low Value Customers","Married_with_youndKids","Thiruvananthapuram","Kerala"
"95",10068,1,0.159993044,0,0.271820449,400,3,0,0,0,1,49,"Married",0,1,3,1.69644167522782,"Very Low Value Customers","Pre-retired","Jaipur","Rajasthan"
"96",11507,1,1.122503329,2,1.800498753,400,3,1,0,2,0,34,"Single",1,0,3,1.69777588024176,"Very Low Value Customers","Married_with_youndKids","Gandhinagar","Gujarat"
"97",69482,1,1.033932136,0,0.037406484,400,1,0,0,0,0,23,"Married",2,0,2,1.71578764792998,"Very Low Value Customers","UnMarried_employed","Raipur","Chhattisgarh"
"98",116674,1,0.9999999,0,0.21446384,400,0,1,0,0,0,24,"Single",0,0,3,1.73113100559032,"Very Low Value Customers","UnMarried_employed","Hyderabad","Andhra Pradesh"
"99",131348,1,1.93625498,0,1.184538653,400,2,0,0,3,0,39,"Married",2,0,2,1.73313231311123,"Very Low Value Customers","Married_with_youndKids","Hyderabad","Andhra Pradesh"
"100",149955,1,0.9999999,0,170.39801,401,3,2,0,0,0,46,"Single",2,1,2,1.74180464570186,"Very Low Value Customers","Pre-retired","Gangtok","Sikkim"
"101",114770,1,0.9999999,0,0.908883827,438,1,1,0,1,0,39,"Single",0,0,3,1.76448613093888,"Very Low Value Customers","Married_with_youndKids","Kolkata","West Bengal"
"102",42984,1,0.962207558,0,0.795918367,440,5,0,0,1,0,58,"Single",1,0,3,1.76715454096677,"Very Low Value Customers","Pre-retired","Dispur","Assam"
"103",141470,1,0.877331894,3,11.82247191,444,14,1,2,0,1,45,"Married",3,1,1,1.76982295099465,"Very Low Value Customers","Pre-retired","Dispur","Assam"
"104",111706,1,0.089871612,0,0.002217295,450,1,0,0,0,0,22,"Married",0,1,2,1.7778281810783,"Very Low Value Customers","Student","Hyderabad","Andhra Pradesh"
"105",128478,1,0.931285633,4,9.184035477,450,13,1,2,2,0,36,"Married",2,1,3,1.78116369361316,"Very Low Value Customers","Married_with_youndKids","Kolkata","West Bengal"
"106",77313,1,1.15455594,1,1.376106195,451,9,0,0,0,1,55,"Single",3,0,1,1.78316500113407,"Very Low Value Customers","Pre-retired","Mumbai","Maharashtra"
"107",66885,1,0.703703704,0,0.03992016,500,2,0,0,0,0,52,"Married",0,1,1,1.82786086910115,"Very Low Value Customers","Pre-retired","Hyderabad","Andhra Pradesh"
"108",68032,1,0.040790733,1,7.820359281,500,13,0,2,0,0,50,"Single",2,0,1,1.82852797160812,"Very Low Value Customers","Pre-retired","Lucknow","Uttar Pradesh"
"109",80889,1,0.9999999,0,0.662674651,500,1,0,0,1,0,27,"Single",0,0,3,1.83786740670571,"Very Low Value Customers","UnMarried_employed","Patna","Bihar"
"110",90963,1,0.880319909,0,0.315369261,500,3,0,0,0,0,24,"Single",0,1,1,1.8452055342824,"Very Low Value Customers","UnMarried_employed","Patna","Bihar"
"111",95043,1,0.9999999,0,0.081836327,500,0,1,0,0,0,23,"Single",0,0,2,1.84787394431028,"Very Low Value Customers","UnMarried_employed","Gandhinagar","Gujarat"
"112",135988,1,0,1,5.840319361,500,6,0,1,0,0,37,"Single",3,0,1,1.87122253205428,"Very Low Value Customers","Married_with_youndKids","Ranchi","Jharkhand"
"113",139055,1,0.885832798,0,1.391217565,500,9,0,0,0,1,38,"Married",2,0,1,1.87589224960307,"Very Low Value Customers","Married_with_youndKids","Agartala","Tripura"
"114",62439,1,1.114540317,4,0.47184466,514,5,1,0,1,1,52,"Single",0,1,1,1.89723952982615,"Very Low Value Customers","Pre-retired","Kohima","Nagaland"
"115",148307,1,1.062583222,4,0.141199226,516,4,7,0,0,0,38,"Single",0,1,1,1.89924083734707,"Very Low Value Customers","Married_with_youndKids","Dispur","Assam"
"116",149750,1,0.579052342,0,8.666666667,521,5,0,1,0,0,47,"Single",0,1,1,1.90524475990981,"Very Low Value Customers","Pre-retired","Dispur","Assam"
"117",117663,1,0.88205439,0,8.668560606,527,13,0,3,0,0,58,"Married",0,0,2,1.91058157996558,"Very Low Value Customers","Pre-retired","Gangtok","Sikkim"
"118",3509,1,0,0,0.084269663,533,1,2,0,0,1,26,"Married",2,0,1,1.91658550252832,"Very Low Value Customers","UnMarried_employed","Bangalore","Karnataka"
"119",142659,1,1.188270576,1,0.197392924,536,2,1,0,0,0,42,"Single",4,0,2,1.91858681004923,"Very Low Value Customers","Pre-retired","Bangalore","Karnataka"
"120",80313,1,0,1,0,575,1,0,0,0,0,55,"Married",0,1,2,1.96061426798842,"Very Low Value Customers","Pre-retired","Agartala","Tripura"
"121",120396,1,0.97015207,0,8.632302405,581,14,0,2,0,0,49,"Single",0,1,2,1.9632826780163,"Very Low Value Customers","Pre-retired","Thiruvananthapuram","Kerala"
"122",26280,1,0.9999999,3,4.979695431,590,4,7,1,1,0,67,"Married",0,1,3,1.96928660057905,"Very Low Value Customers","Retired","Thiruvananthapuram","Kerala"
"123",21709,1,0,0,0.958402662,600,4,0,0,1,0,70,"Married",0,1,1,1.97996024069058,"Very Low Value Customers","Retired","Agartala","Tripura"
"124",37098,1,0.886030296,2,1.490848586,600,6,1,0,0,0,28,"Single",0,0,2,1.98529706074635,"Very Low Value Customers","Married_with_youndKids","Raipur","Chhattisgarh"
"125",43443,1,0.9999999,0,0.024958403,600,0,0,0,0,0,49,"Single",1,0,3,1.9866312657603,"Very Low Value Customers","Pre-retired","Itanagar","Arunachal Pradesh"
"126",53026,1,1.090834021,0,0.522462562,600,3,1,0,0,0,58,"Single",1,1,3,1.99196808581607,"Very Low Value Customers","Pre-retired","Imphal","Manipur"
"127",62907,1,0.9999999,98,0,600,0,98,0,98,1,47,"Single",0,0,1,1.99930621339275,"Very Low Value Customers","Pre-retired","Chandigarh","Haryana"
"128",79811,1,0.9999999,0,0.081530782,600,2,0,0,2,0,27,"Single",1,0,2,2.00397593094155,"Very Low Value Customers","UnMarried_employed","Hyderabad","Andhra Pradesh"
"129",93533,1,1.043912176,0,0.083194676,600,2,0,0,0,1,50,"Single",0,1,2,2.01131405851823,"Very Low Value Customers","Pre-retired","Bhopal","Madhya Pradesh"
"130",111785,1,0.696521391,2,0.475873544,600,5,0,0,0,1,26,"Married",0,0,2,2.02265480113674,"Very Low Value Customers","UnMarried_employed","Raipur","Chhattisgarh"
"131",128565,1,0.045848456,0,0.029950083,600,8,0,0,0,0,23,"Single",0,0,3,2.03199423623434,"Very Low Value Customers","UnMarried_employed","Gangtok","Sikkim"
"132",34348,1,0.9999999,0,0.022913257,610,0,0,0,0,1,46,"Single",1,1,2,2.04400208135982,"Very Low Value Customers","Pre-retired","Bhopal","Madhya Pradesh"
"133",103375,1,0.053130071,0,0.066343042,617,3,0,0,0,0,78,"Single",0,0,1,2.04867179890862,"Very Low Value Customers","Retired","Bangalore","Karnataka"
"134",17069,1,0.005424154,0,0.014376997,625,5,0,0,0,1,46,"Single",1,0,2,2.05467572147136,"Very Low Value Customers","Pre-retired","Dispur","Assam"
"135",146161,1,0.397758255,0,0.286392405,631,13,0,0,0,1,43,"Single",0,0,3,2.06134674654107,"Very Low Value Customers","Pre-retired","Itanagar","Arunachal Pradesh"
"136",75625,1,0.071448979,1,1.402515723,635,7,0,0,0,0,46,"Single",0,1,3,2.06601646408987,"Very Low Value Customers","Pre-retired","Hyderabad","Andhra Pradesh"
"137",55833,1,0.9999999,0,0,637,0,0,0,0,0,56,"Single",0,0,1,2.06668356659684,"Very Low Value Customers","Pre-retired","Shillong","Meghalaya"
"138",138327,1,0.992001524,7,2.594043887,637,10,1,1,1,1,45,"Married",0,0,2,2.06801777161079,"Very Low Value Customers","Pre-retired","Raipur","Chhattisgarh"
"139",12370,1,0.9999999,98,0,640,0,98,0,98,0,25,"Single",0,1,2,2.06868487411776,"Very Low Value Customers","UnMarried_employed","Chennai","Tamil Nadu"
"140",57841,1,0.9999999,3,1.774193548,650,4,1,0,0,1,76,"Married",1,1,2,2.08202692425718,"Very Low Value Customers","Retired","Itanagar","Arunachal Pradesh"
"141",149224,1,1.007420662,1,1.781954887,664,8,3,0,0,0,38,"Single",2,0,1,2.09536897439661,"Very Low Value Customers","Married_with_youndKids","Kolkata","West Bengal"
"142",138276,1,1.016496243,2,3.274362819,666,4,0,1,0,1,48,"Single",3,0,1,2.10270710197329,"Very Low Value Customers","Pre-retired","Kolkata","West Bengal"
"143",50528,1,0.9999999,98,0,674,0,98,0,98,0,26,"Married",1,0,3,2.109378127043,"Very Low Value Customers","UnMarried_employed","Dispur","Assam"
"144",103113,1,0.242218997,1,1.401459854,684,6,0,1,0,0,56,"Single",0,1,2,2.11671625461968,"Very Low Value Customers","Pre-retired","Srinagar","JK"
"145",128477,1,0.505083833,3,1.225290698,687,13,0,0,0,1,50,"Single",0,1,1,2.11805045963363,"Very Low Value Customers","Pre-retired","Dehradun","Uttarakhand"
"146",2561,1,0.493802479,1,0.55064194,700,9,0,0,0,1,28,"Single",0,0,2,2.12672279222425,"Very Low Value Customers","Married_with_youndKids","Thiruvananthapuram","Kerala"
"147",22729,1,1.056839475,0,0.111269615,700,2,2,0,0,0,23,"Married",3,1,2,2.13205961228002,"Very Low Value Customers","UnMarried_employed","Raipur","Chhattisgarh"
"148",45145,1,0,0,0.065620542,700,2,0,0,0,0,27,"Married",0,0,3,2.13672932982882,"Very Low Value Customers","UnMarried_employed","Itanagar","Arunachal Pradesh"
"149",53462,1,0.068186363,0,0.035663338,700,5,0,0,0,0,33,"Single",0,1,3,2.14073194487065,"Very Low Value Customers","Married_with_youndKids","Srinagar","JK"
"150",54503,1,0.085322005,0,3.562054208,700,21,0,1,2,1,50,"Single",0,1,3,2.14139904737762,"Very Low Value Customers","Pre-retired","Chandigarh","Haryana"
"151",56959,1,0.956756757,1,2.12125535,700,4,1,2,0,0,49,"Married",1,0,3,2.14273325239156,"Very Low Value Customers","Pre-retired","Jammu","JK"
"152",68722,1,0.181796277,0,1.041369472,700,7,1,0,1,0,41,"Single",0,1,3,2.14740296994036,"Very Low Value Customers","Pre-retired","Lucknow","Uttar Pradesh"
"153",102586,1,0.976940815,0,0.261055635,700,4,0,0,0,0,23,"Single",0,1,3,2.16007791757281,"Very Low Value Customers","UnMarried_employed","Panjim","Goa"
"154",138726,1,0.968342127,0,1.409415121,700,5,0,0,1,1,33,"Married",2,0,1,2.16674894264253,"Very Low Value Customers","Married_with_youndKids","Aizawl","Mizoram"
"155",54529,1,0.9999999,0,0,714,0,1,0,0,1,44,"Single",0,1,1,2.18009099278195,"Very Low Value Customers","Pre-retired","Itanagar","Arunachal Pradesh"
"156",99024,1,0.9999999,0,0.011157601,716,1,0,0,0,0,29,"Married",0,1,3,2.18275940280984,"Very Low Value Customers","Married_with_youndKids","Bhopal","Madhya Pradesh"
"157",126519,1,0.282645426,0,3.910547397,748,10,1,1,0,1,37,"Single",3,0,1,2.21411322063748,"Very Low Value Customers","Married_with_youndKids","Itanagar","Arunachal Pradesh"
"158",15086,1,0.925558885,1,0.356857523,750,4,0,0,0,1,44,"Single",0,1,1,2.21811583567931,"Very Low Value Customers","Pre-retired","Lucknow","Uttar Pradesh"
"159",19186,1,0.854291417,0,0.331557923,750,3,0,0,0,0,80,"Single",0,0,1,2.21945004069325,"Very Low Value Customers","Retired","Patna","Bihar"
"160",43395,1,0.9999999,98,0,750,0,98,0,98,0,27,"Married",0,1,2,2.22211845072114,"Very Low Value Customers","UnMarried_employed","Kohima","Nagaland"
"161",137505,1,0.664762993,3,0.446071904,750,8,0,0,0,1,24,"Single",0,1,1,2.24279862843725,"Very Low Value Customers","UnMarried_employed","Jammu","JK"
